time =  0.13453221321105957
0 0, 1000000000
1 1, 1000000000
2 2, 1000000000
3 3, 1000000000
4 4, 1000000000
5 5, 1000000000
6 6, 1000000000
7 7, 1000000000
8 8, 1000000000
9 9, 1000000000
10 10, 1000000000
11 11, 1000000000
12 12, 1000000000
13 13, 1000000000
14 14, 1000000000
15 15, 1000000000
16 16, 1000000000
17 17, 1000000000
18 18, 1000000000
19 19, 1000000000
time =  5.2070698738098145
0 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0, 119
1 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1, 111
2 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2, 102
3 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3, 93
4 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4, 83
5 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5, 80
6 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6, 79
7 20,19,18,17,16,15,14,13,12,11,10,9,8,7, 73
8 20,19,18,17,16,15,14,13,12,11,10,9,8, 69
9 20,19,18,17,16,15,14,13,12,11,10,9, 60
10 20,19,18,17,16,15,14,13,12,11,10, 51
11 20,19,18,17,16,15,14,13,12,11, 44
12 20,19,18,17,16,15,14,13,12, 42
13 20,19,18,17,16,15,14,13, 40
14 20,19,18,17,16,15,14, 38
15 20,19,18,17,16,15, 29
16 20,19,18,17,16, 20
17 20,19,18,17, 12
18 20,19,18, 6
19 20,19, 5
time =  10.21419906616211
0 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0, 114
1 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1, 105
2 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2, 103
3 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3, 100
4 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4, 90
5 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5, 81
6 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6, 71
7 20,19,18,17,16,15,14,13,12,11,10,9,8,7, 68
8 20,19,18,17,16,15,14,13,12,11,10,9,8, 63
9 20,19,18,17,16,15,14,13,12,11,10,9, 59
10 20,19,18,17,16,15,14,13,12,11,10, 53
11 20,19,18,17,16,15,14,13,12,11, 46
12 20,19,18,17,16,15,14,13,12, 41
13 20,19,18,17,16,15,14,13, 36
14 20,19,18,17,16,15,14, 35
15 20,19,18,17,16,15, 29
16 20,19,18,17,16, 27
17 20,19,18,17, 17
18 20,19,18, 15
19 20,19, 10
time =  15.259024858474731
0 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0, 128
1 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1, 123
2 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2, 119
3 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3, 113
4 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4, 108
5 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5, 103
6 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6, 95
7 20,19,18,17,16,15,14,13,12,11,10,9,8,7, 85
8 20,19,18,17,16,15,14,13,12,11,10,9,8, 76
9 20,19,18,17,16,15,14,13,12,11,10,9, 66
10 20,19,18,17,16,15,14,13,12,11,10, 60
11 20,19,18,17,16,15,14,13,12,11, 50
12 20,19,18,17,16,15,14,13,12, 44
13 20,19,18,17,16,15,14,13, 38
14 20,19,18,17,16,15,14, 37
15 20,19,18,17,16,15, 28
16 20,19,18,17,16, 23
17 20,19,18,17, 18
18 20,19,18, 10
19 20,19, 9
time =  20.280481815338135
0 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0, 93
1 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1, 90
2 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2, 82
3 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3, 79
4 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4, 73
5 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5, 66
6 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6, 62
7 20,19,18,17,16,15,14,13,12,11,10,9,8,7, 61
8 20,19,18,17,16,15,14,13,12,11,10,9,8, 55
9 20,19,18,17,16,15,14,13,12,11,10,9, 54
10 20,19,18,17,16,15,14,13,12,11,10, 46
11 20,19,18,17,16,15,14,13,12,11, 41
12 20,19,18,17,16,15,14,13,12, 36
13 20,19,18,17,16,15,14,13, 28
14 20,19,18,17,16,15,14, 21
15 20,19,18,17,16,15, 18
16 20,19,18,17,16, 17
17 20,19,18,17, 14
18 20,19,18, 7
19 20,19, 2
time =  25.35429620742798
0 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0, 118
1 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1, 109
2 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2, 99
3 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3, 95
4 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4, 85
5 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5, 75
6 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6, 72
7 20,19,18,17,16,15,14,13,12,11,10,9,8,7, 70
8 20,19,18,17,16,15,14,13,12,11,10,9,8, 66
9 20,19,18,17,16,15,14,13,12,11,10,9, 64
10 20,19,18,17,16,15,14,13,12,11,10, 61
